0.631927494307091	0	0	0	0
0	0.568900439744582	0	0	0
0	0	1.01690350458634	0	0
0	0	0	0.888459171158764	0
0	0	0	0	1.08611919451134
0.894375058775161	0	0	0	0
0	0.942327043880067	0	0	0
0	0	0.868001093743867	0	0
0	0	0	1.12378129254294	0
0	0	0	0	0.961381078278807
0.969741600354328	0	0	0	0
0	0.922016946184595	0	0	0
0	0	0.914798790346043	0	0
0	0	0	0.99071028697054	0
0	0	0	0	0.993716239890997
0.841168331137242	0	0	0	0
0	0.557076663401424	0	0	0
0	0	0.568264387855448	0	0
0	0	0	1.11778160127972	0
0	0	0	0	0.969736258657213
